                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                0.43723,                0.30322,                0.95001,                0.99941,                      1,                  0.995,                0.86559,                0.65452,                0.27812,                0.96235,              0.0002576,              0.0002576,              0.0002576
                     90,                0.42378,                0.31079,                 0.9121,                0.99929,                      1,                  0.995,                0.87532,                0.62089,                0.28387,                0.96268,              0.0002378,              0.0002378,              0.0002378
                     91,                0.44647,                0.47718,                 0.9584,                 0.9992,                      1,                  0.995,                0.86985,                0.61923,                 0.2909,                0.96827,               0.000218,               0.000218,               0.000218
                     92,                0.37488,                 0.2958,                 0.9206,                0.99912,                      1,                  0.995,                0.88364,                0.60143,                0.30561,                0.91263,              0.0001982,              0.0001982,              0.0001982
                     93,                0.45551,                0.35937,                 0.9914,                  0.983,                      1,                0.99403,                0.88373,                0.58052,                0.30134,                0.89215,              0.0001784,              0.0001784,              0.0001784
                     94,                0.37151,                0.25739,                0.86986,                0.99929,                      1,                  0.995,                0.89308,                0.56169,                0.28584,                0.88546,              0.0001586,              0.0001586,              0.0001586
                     95,                0.40923,                0.26569,                0.85782,                0.99939,                      1,                  0.995,                0.89725,                0.55794,                0.27193,                0.88818,              0.0001388,              0.0001388,              0.0001388
                     96,                0.39595,                0.29915,                 0.8856,                0.99929,                      1,                  0.995,                0.88707,                0.55353,                0.26126,                0.88818,               0.000119,               0.000119,               0.000119
                     97,                0.34594,                0.24468,                0.83804,                0.99935,                      1,                  0.995,                0.88617,                0.55352,                0.25486,                0.89071,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.34695,                0.25652,                0.86581,                0.99936,                      1,                  0.995,                0.88698,                0.54864,                0.25245,                0.88882,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.37793,                0.25747,                0.87984,                0.99937,                      1,                  0.995,                0.88924,                0.55341,                0.25578,                0.88956,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.34315,                0.24557,                0.84781,                0.99937,                      1,                  0.995,                0.89464,                0.55511,                0.25629,                0.89164,               3.98e-05,               3.98e-05,               3.98e-05
